Date,Series,Open,High,Low,Prev Close,ltp,Close,VWAP,52WH,52WL,Volume,Value,No.of Traders
2-Aug-24,EQ,"1,164.00","1,167.80","1,156.10","1,172.30","1,161.90","1,160.85","1,161.56","1,339.65",927.15,"1,05,81,445","12,29,09,60,339.65","2,53,876"
1-Aug-24,EQ,"1,168.00","1,175.65","1,165.45","1,166.10","1,172.00","1,172.30","1,171.08","1,339.65",927.15,"1,11,90,500","13,10,50,19,619.00","2,24,349"
31-Jul-24,EQ,"1,157.00","1,171.00","1,154.00","1,170.00","1,167.80","1,166.10","1,162.86","1,339.65",927.15,"1,73,47,076","20,17,22,76,869.40","3,74,991"
30-Jul-24,EQ,"1,164.10","1,180.00","1,160.20","1,170.05","1,167.30","1,170.00","1,172.50","1,339.65",927.15,"1,80,90,045","21,21,05,54,578.25","2,74,170"
29-Jul-24,EQ,"1,182.35","1,194.60","1,163.65","1,177.35","1,169.25","1,170.05","1,176.22","1,339.65",927.15,"1,95,98,573","23,05,21,40,304.25","3,49,227"
26-Jul-24,EQ,"1,165.00","1,183.15","1,155.25","1,175.90","1,176.00","1,177.35","1,172.13","1,339.65",927.15,"1,85,54,648","21,74,84,97,042.25","4,34,545"
25-Jul-24,EQ,"1,200.00","1,200.00","1,155.50","1,239.25","1,176.25","1,175.90","1,167.71","1,339.65",927.15,"3,29,79,871","38,51,10,48,600.35","5,81,999"
24-Jul-24,EQ,"1,262.90","1,267.35","1,226.65","1,263.25","1,240.20","1,239.25","1,240.49","1,339.65",927.15,"1,03,44,860","12,83,26,86,445.35","2,34,782"
23-Jul-24,EQ,"1,288.50","1,291.10","1,251.00","1,282.50","1,264.10","1,263.25","1,270.80","1,339.65",927.15,"87,89,327","11,16,95,00,939.60","2,15,324"
22-Jul-24,EQ,"1,283.35","1,292.35","1,278.20","1,292.35","1,286.20","1,282.50","1,284.30","1,339.65",927.15,"66,95,557","8,59,91,32,671.70","1,64,189"
19-Jul-24,EQ,"1,305.65","1,309.00","1,288.20","1,309.40","1,293.80","1,292.35","1,296.77","1,339.65",927.15,"44,96,066","5,83,03,80,848.30","1,15,594"
18-Jul-24,EQ,"1,300.00","1,318.60","1,294.50","1,304.00","1,310.00","1,309.40","1,307.66","1,339.65",927.15,"67,87,511","8,87,57,65,736.20","1,99,758"
16-Jul-24,EQ,"1,307.45","1,318.45","1,299.70","1,307.45","1,305.45","1,304.00","1,303.98","1,339.65",927.15,"54,33,264","7,08,48,62,112.60","1,69,454"
15-Jul-24,EQ,"1,316.70","1,324.40","1,305.00","1,317.30","1,308.45","1,307.45","1,311.89","1,339.65",927.15,"1,15,37,127","15,13,53,87,983.05","2,14,007"
12-Jul-24,EQ,"1,293.90","1,339.65","1,293.90","1,296.75","1,317.00","1,317.30","1,320.56","1,339.65",927.15,"1,12,78,987","14,89,45,75,098.80","2,97,723"
11-Jul-24,EQ,"1,301.05","1,301.40","1,276.95","1,291.65","1,299.30","1,296.75","1,291.18","1,310.00",927.15,"78,48,846","10,13,42,79,274.55","2,32,678"
10-Jul-24,EQ,"1,284.20","1,294.00","1,275.15","1,289.40","1,291.05","1,291.65","1,287.01","1,310.00",927.15,"90,20,489","11,60,94,70,885.70","1,98,328"
9-Jul-24,EQ,"1,284.00","1,295.00","1,279.20","1,287.85","1,287.40","1,289.40","1,286.65","1,310.00",927.15,"69,30,340","8,91,69,50,649.80","1,63,202"
8-Jul-24,EQ,"1,285.00","1,297.40","1,279.60","1,287.05","1,289.00","1,287.85","1,285.90","1,310.00",927.15,"42,16,951","5,42,25,66,780.50","95,592"
5-Jul-24,EQ,"1,272.00","1,295.40","1,270.90","1,280.90","1,284.00","1,287.05","1,284.18","1,310.00",927.15,"85,93,502","11,03,55,96,547.70","2,20,462"
4-Jul-24,EQ,"1,288.00","1,293.00","1,268.50","1,280.00","1,277.80","1,280.90","1,280.77","1,310.00",927.15,"48,17,380","6,16,99,70,460.95","1,82,778"
3-Jul-24,EQ,"1,260.00","1,288.60","1,243.60","1,253.40","1,276.20","1,280.00","1,275.89","1,310.00",927.15,"1,51,71,347","19,35,69,73,831.75","2,75,391"
2-Jul-24,EQ,"1,265.00","1,267.85","1,238.25","1,261.90","1,250.00","1,253.40","1,251.60","1,310.00",927.15,"99,45,447","12,44,77,63,788.80","2,58,476"
1-Jul-24,EQ,"1,273.00","1,273.00","1,256.45","1,265.25","1,259.70","1,261.90","1,264.66","1,310.00",927.15,"57,97,015","7,33,12,80,202.85","1,83,547"
28-Jun-24,EQ,"1,283.10","1,289.90","1,261.60","1,288.95","1,263.80","1,265.25","1,272.14","1,310.00",927.15,"71,67,069","9,11,74,94,214.80","2,74,653"
27-Jun-24,EQ,"1,310.00","1,310.00","1,280.00","1,285.40","1,288.05","1,288.95","1,293.09","1,310.00",927.15,"2,23,11,393","28,85,05,81,982.40","2,95,852"
26-Jun-24,EQ,"1,281.10","1,292.95","1,259.20","1,271.45","1,284.00","1,285.40","1,277.28","1,292.95",927.15,"1,39,56,370","17,82,62,61,937.80","2,52,419"
25-Jun-24,EQ,"1,234.45","1,278.75","1,226.00","1,228.10","1,272.65","1,271.45","1,259.63","1,278.75",927.15,"1,76,07,952","22,17,94,90,315.10","3,28,365"
24-Jun-24,EQ,"1,231.00","1,235.75","1,225.05","1,237.45","1,229.65","1,228.10","1,229.00","1,246.00",927.15,"66,76,530","8,20,54,23,840.80","1,99,186"
21-Jun-24,EQ,"1,246.00","1,246.00","1,223.75","1,239.50","1,232.10","1,237.45","1,229.24","1,246.00",927.15,"2,93,11,314","36,03,05,14,617.60","2,36,969"
20-Jun-24,EQ,"1,230.10","1,241.50","1,220.40","1,226.65","1,238.00","1,239.50","1,234.40","1,243.35",927.15,"82,06,858","10,13,05,77,306.25","1,84,564"
19-Jun-24,EQ,"1,193.00","1,243.35","1,185.50","1,191.90","1,229.00","1,226.65","1,216.95","1,243.35",927.15,"1,79,87,437","21,88,98,74,992.90","3,38,098"
18-Jun-24,EQ,"1,194.00","1,194.00","1,181.15","1,181.05","1,190.00","1,191.90","1,188.94","1,242.20",927.15,"68,37,181","8,12,89,78,098.40","1,66,191"
14-Jun-24,EQ,"1,180.95","1,184.65","1,170.00","1,174.65","1,181.00","1,181.05","1,178.90","1,242.20",927.15,"44,51,031","5,24,73,12,164.10","1,75,362"
13-Jun-24,EQ,"1,201.80","1,202.00","1,173.45","1,187.90","1,175.50","1,174.65","1,182.78","1,242.20",927.15,"53,21,148","6,29,37,67,209.90","1,66,167"
12-Jun-24,EQ,"1,192.10","1,206.15","1,184.10","1,194.60","1,186.00","1,187.90","1,193.99","1,242.20",927.15,"71,99,718","8,59,64,01,078.25","2,06,029"
11-Jun-24,EQ,"1,204.45","1,209.35","1,190.45","1,200.00","1,193.00","1,194.60","1,199.79","1,242.20",927.15,"93,90,212","11,26,62,64,173.15","1,75,931"
10-Jun-24,EQ,"1,185.00","1,212.40","1,185.00","1,186.80","1,196.95","1,200.00","1,205.31","1,242.20",927.15,"99,95,057","12,04,71,64,277.30","3,53,620"
7-Jun-24,EQ,"1,178.00","1,195.20","1,166.75","1,170.95","1,188.00","1,186.80","1,186.19","1,242.20",927.15,"85,83,998","10,18,22,91,291.25","1,86,416"
6-Jun-24,EQ,"1,192.10","1,195.90","1,163.25","1,184.50","1,174.00","1,170.95","1,177.39","1,242.20",927.15,"1,20,06,879","14,13,67,79,337.85","3,34,949"
5-Jun-24,EQ,"1,138.00","1,193.00","1,110.70","1,131.25","1,180.50","1,184.50","1,152.75","1,242.20",927.15,"2,10,39,499","24,25,33,12,563.50","3,82,962"
4-Jun-24,EQ,"1,224.00","1,224.00","1,101.55","1,223.90","1,138.00","1,131.25","1,154.47","1,242.20",927.15,"2,41,35,989","27,86,43,28,324.90","4,96,520"
3-Jun-24,EQ,"1,197.05","1,242.20","1,193.40","1,162.15","1,230.00","1,223.90","1,217.27","1,242.20",927.15,"2,21,97,339","27,02,02,48,884.00","4,05,670"
31-May-24,EQ,"1,173.00","1,178.00","1,153.40","1,167.95","1,164.05","1,162.15","1,163.57","1,196.00",910.2,"1,00,57,642","11,70,27,97,392.00","1,81,548"
30-May-24,EQ,"1,155.20","1,179.80","1,155.00","1,159.75","1,172.00","1,167.95","1,167.19","1,196.00",910.2,"72,32,217","8,44,13,39,660.05","1,87,968"
29-May-24,EQ,"1,172.00","1,185.90","1,156.00","1,183.40","1,164.95","1,159.75","1,165.17","1,196.00",910.2,"94,18,064","10,97,36,38,363.45","1,59,514"
28-May-24,EQ,"1,188.00","1,192.40","1,179.00","1,187.00","1,181.00","1,183.40","1,184.71","1,196.00",910.2,"40,18,776","4,76,10,91,671.70","1,08,973"
27-May-24,EQ,"1,178.90","1,196.00","1,168.00","1,174.00","1,187.25","1,187.00","1,184.90","1,196.00",910.2,"1,04,50,046","12,38,22,09,226.70","2,37,192"
